nombre	count(i.nombre)
KELEFUSIN AMP 1.49G/5ML	70
SALA DE URGENCIA 1ERA. HORA	70
ANTIVON AMP 8MG/4ML	70
JERINGA DESECHABLE INSULINA 1 ML 327301	68
USO DE MATERIAL DE ASEPSIA Y ANTISEPSIA	68
TUBO P/ASPIRACION MD-RX 708120	66
CLORURO DE SODIO INY. 50 ML	66
TERMOMETRO DE CUARZO LIQUIDO	66
GUANTE CIRUGIA ESTERIL 7 1/2 2D7275	65
SALA DE URGENCIA FRACCION ADICIONAL	63
AGUJA ESTERIL DESECHABLE 18X38	63
MICRO CLAVE C/EXT.MICRO 30CM 3V 4031208	63
QUIMICA SANGUINEA (GLUC BUN CREAT) 3	62
INVANZ FCO AMP 1G	61
CATETER INTRAVENOSO 22 4050 INSYTE	60
COMODO DESECHABLE ESTANDAR CS-1	60
OXIGENOTERAPIA 1-3 HORAS	59
INSTRUMENTAL QUIRURGICO (USO)	59
TIEMPO PARCIAL DE TROMBOPLASTINA	59
LIPASA	58
PROFENID IV FCO AMP 100MG	58
TIEMPO DE PROTROMBINA	58
GUANTE CIRUGIA ESTERIL 6 1/2 2D7265	58
ATENCION EN URGENCIAS C	58
JERINGA DESECHABLE 20ML S/A 302562	58
TEGADERM PAD 3582 5 X 7	58
CEFTRIAXONA IV. 1G. FAM	57
SERVICIO DE ASEPSIA Y CURACION	57
BATA QUIRURGICA GRANDE 9515	57
APOSITO TRANSPTEGADERM IV 7.0X8.5 1633MX	57
GUANTE CIRUGIA ESTERIL 7 2D7270	56
JERINGA DESECHABLE 10 ML. 21X32 302558	55
MONITOR ANESTESICO (USO)	55
CEPILLO CIRUJANO C/ JABON 4456A	55
OXIGENOTERAPIA 12-24 HORAS	53
CLORURO DE SODIO P/IRRIGACION 1000 ML 29	53
RUBIN CALCAGNO FCO 500ML	51
TIRAS OPTIUM POINT OF CARE G3CH	51
HUMIDIFICACION TERMICO CON OXIGENO	51
AGUA INYECTABLE AMP 10ML	51
FLEBOTEK QUIRURGICO CON CLAVE COD.400196	51
COMBIVENT AMP 0.5MG/2.5MG 2.5ML	50
JERINGA DESECHABLE 20 ML. S/A 302562	50
GLUCOMETRO (USO)	50
JERINGA DESECHABLE 5 ML. 21X32 302549	50
METOCLOPRAMIDA AMP. 10 MG.	50
JUEGO ROPA DESECHAB. P/ MESA DE QUIROFAN	49
QSYTE DISP.DE ACCESO IV VOL.1.10ML	48
SERVICIOS HOSPITALARIOS	47
CLORURO DE SODIO 100ML 1547	47
GAS ANESTESICO 1 HORA CIR	47
CAT INSYTE AUTOGUARD BC 20GAX30MM 381034	46
KETOROLACO SOL. INY. AMP. 30MG/1ML.	46
JERINGA DESECHABLE 10 ML 21X32 302558	45
LANCETAS ABBOTT	45
ABDOMEN SIMPLE 2 PROYECCIONES	45
CANULA NASAL P/OXIGENO K-29 4570	45
GUANTE ESTERIL 8 2D7280	44
ORINAL DESECHABLE C/TAPA OS-1	44
AGUA DE IRRIGACION 500 ML 4000255	43
FILTRO CHEMOMINI SPIKE PLUS AIRE 4550587	42
FENODID SOL. INY. AMP 0.5 MG/10 ML	42
SALA DE RECUPERACION 1 HR CIR	41
FIRAC PLUS AMP 100MG/7.5MG	40
USO DE BOMBA DE INFUSION EN URGENCIAS	40
CATETER INTRAVENOSO 20 4056 INSYTE	40
METAMIZOL AMP 1G/2ML	39
PISACAINA AL 2% (AMP.) 200 MG/10 ML	39
NEO/ADULT OXI SENSOR MAX N 429984	39
RANULIN AMP 50MG/2ML	38
BD INSYTE 20GAX116IN (11 MMX30 MM(1-1/4	38
CALCIO	38
CREATINFOSFOQUINASA FRACCION MB (CPK-MB)	38
FENODID AMP 0.5MG/10ML	38
BOLSA FLEX 3000 ML 65651-930C	38
SOLUCION HARTMANN 500 ML 24	38
CIRUGIA MAYOR 1 HR O FRACCION CIR	38
JERINGA GASOMETRICA DESECH. 3 CC 364391	37
CIPROBAC FCO 400MG/200 ML	37
FOSFORO	36
PANTOZOL FCO AMP 40MG	36
PLACA P/ELECTROCAUTERIO DESECH. E7507	36
PROCALCITONINA	36
MIDAZOLAM AMP 5MG/5ML	36
LASIX AMP 20MG/2ML	36
MAQUINA DE ANESTESIA 1 HORA (USO)	36
ANTIVON AMP 4MG/2ML	36
TORUNDA DE ALCOHOL 25012 C/100	35
HOJA P/BISTURI 15 371233	35
TORAX 1 PROYECCION	35
VENDA ELASTICA 30 CM X 5 MT. 13011	35
UNIDAD ELECTROQUIRURGICA (USO)	35
CIRCUITO ANESTESIA CIRC ADULT 8403B-84	35
TRADOL AMP 100MG/2ML	34
GASA C/R EST. 10X10 28X24 C/10 0133100	34
ZYVOXAM MINIBAG 2MG/ML 300ML	34
CLORURO DE SODIO 250 ML PISA	33
HUMIDIFICADOR DESEC (BORBOTEANTE) 002003	33
ALMOHADA CON FUNDA IMPRESA 46-960012	33
ATENCION ESPECIALIZADA AREAS CRITICAS	33
DIPRIVAN AMP. 200 MG/20 ML.	33
ONDANSETRON SOL. INY. 8MG / 4ML	31
BOLSA FLEX 1500 ML 65651-920C	31
MAGNEFUSIN AMP 1G/10ML	31
CANULA GUEDEL 4 9 CM 2 VERDE 330009	31
GEL ESTERIL	31
USO DE MATERIALES EN AREAS CRITICAS	30
ATROPISA AMP. 1 MG/1 ML	30
PULMICORT SUSP P/NEB AMP 0.250MG/ML 2ML	30
NORMOSOL M DEXTROSA 5% 1000 ML 47	30
LYRICA CAP 75MG	30
EQ. P/VENOPUNCION AD REGULAR VEN-001-14	30
PROBETA DESECHABLE 225 ML 49100	29
ULTRASORB-AP PAD 61X91 MEDB2436	29
ASISTENCIA TECNICA EN QUIROFANO CIR	29
ULTRASORB-AP PAD 79X91 MEDB3136	29
CAT INSYTE AUTOGUARD BC 18GAX30MM 381044	29
MICRO CLAVE CLEAR 4031209	29
CARGO USO DE CAMA EXTRA (DIA)	29
COMPRESA P/VIENTRE PRELAV 45X70 28X24	29
O2 DE TRASLADO	28
RINON DESECHABLE GRADUADO 5212100	28
CONECTOR TIPO SIMS GRUESO 7350	27
ATENCION ESPECIALIZADO EN RECUPERACION	27
ESMERON FCO AMP 50 MG/5 ML	27
OMEPRAZOL CAP. 20MG	27
MEDIA TED MUSLO GDE-LGA 3856LF	26
HENEXAL AMP 2 ML	26
CLEXANE JGA 40MG/0.4ML	26
PROTECT CUTANEO NOSTING C/ISOPO 1 ML	26
CANULA YANKAHUER S/VALV. SUCC. 40100	26
AGUA INYECTABLE 10 ML. AMP	25
PARACETAMOL TAB. 500 MG.	25
MAQUINA DE ANESTESIA 1/2 HORA ADICIONAL	25
GUANTE NO ESTERIL VINILO GRANDE 0490030	25
ENTEROGERMINA SUSP AMP 5 ML	25
ADULT OXI SENSOR MAX A 429966	25
GAS ANESTESICO 1/2 HORA CIR	24
IRRIGATEK 2 VIAS 847	24
PULMICORT SUSP P/NEB AMP 0.125MG/ML 2ML	23
PISAPEM FCO AMP 1G/20ML	23
SALA QUIRURGICA (FRACCION ADICIONAL)	23
METRONIDAZOL 500MG/100ML INY.	23
DVD GRABABLE 4.7 GB VELOCIDAD 2.4X	23
CONECTOR P/ CAM HUMIDIFICACION 89200	23
OXIMETRIA MENOR A 8 HORAS	22
GORRO PACIENTE B16D411	22
KETOROLACO SOL. INY. AMP. 30MG/1ML	22
ONDANSENTRON AMP 4 MG/2 ML	22
USO DE RECOLECTOR DE PUNZO CORTANTES	22
DECOREX AMP 8MG/ 2ML	22
UREOTEK BOLSA 2000 ML 4261	22
BUSCAPINA CPTO. AMP 20/250 MG 5 ML	21
AGUJA ESTERIL DESECHABLE 20 X 32 2565	21
ESPONJA BLANCA C/LOGOTIPO	21
JERINGA P/PERFUSOR TRANSPARENTE 50 ML	21
PAQUETE ENDOSCOPIA 88048	20
JUEGO ROPA DESECHAB. P/ CAMA	20
ESPACIL CPTO AMP 100MG/20MG/4ML	20
CARGO USO DE HAB ESTANDAR TERAPIA INTERM	20
NUCLEO CMP FORTE CAP 5MG/3MG	20
BRIDION FCO AMP 100MG/ML 2ML	20
FUROSEMIDA AMP 20MG/2ML	20
OXIGENOTERAPIA 6-12 HORAS	20
SOLUCION HARTMANN 1000 ML 25	20
NEO-MELUBRINA AMP 1G/2ML	20
SALA DE RECUPERACION 1 HR REC	20
GASOMETRIA COXIMETRIA Y ELECTROLITOS	19
TIRA ACCU-CHECK PERFORMA	19
PAQUETE CITOSCOPIA 77383	19
FLEXBUMIN 20% 50ML ALBUMINA HUMANA	19
QUIMICA SANGUINEA (6)	19
UROCULTIVO	19
MICCIL AMP 0.5MG/2ML	19
CLONIXINATO DE LISINA AMP 100MG/2ML	18
FIRAC AMP 100MG/2ML	18
EXTENSION P/PERFUSOR SIN FILTRO 15 CM	18
SESION TERAPIA FISICA/REHABILITACION	18
DURA PREP SOL. 15 ML 8610	18
DIPRIVAN AMP 200MG/20 ML	18
CEPILLO C/GLUCONATO DE CLORHEX 371073	18
VENDA ELASTICA 10 CM X 5 MT. 13006	18
TEGADERM HP 9536 3M 10X12	18
BOMBA MEDEX (USO)	18
CIRCUITO UNIVERSAL P/ANESTESIA F-60	18
DEXAMETASONA 2 ML SOL INY GI	17
DERMALON 3-0 1742-41 SCE-4	17
CANULA YANKAHUER S/VALV SUCC 40100	17
LACTEOL FORT PVO. SOB. 340 MG	17
DURA PREP SOL. QUIRURGICA 26 ML 8630	17
COLCHON TERMICO SBH	17
FIJADOR DE SONDA FOLEY 36600-M	17
FRESOFOL AMP 200 MG/20 ML	17
MEROPENEM 1 G. FCO AMP	17
OTROZOL FCO 5MG/ML 100ML	17
TRAMADOL 100MG/2ML AMP	17
SALOFALK TAB 500MG	17
ESTUDIO HISTOPATOLOGICO TIPO C	17
ATENCION ESPECIALIZADA PEDIATRICA	17
BOLSA COLOSTOMIA DRENABLE COMPAC 3250	17
HIDROCORTISONA FCO AMP 100MG/2ML	16
LYSOMUCIL TAB EFERV 600MG	16
DOLAC AMP 30MG/ML	16
KIT DESECHABLE PARA CAMA	16
MASCARILLA TIENDA FACIAL SL-1110	16
SENOSIDOS AB TAB 45% 8.6MG	16
CLORURO DE SODIO 3000 ML	16
NEXIUM PED GRANULADO SOB 10MG	16
CANULA NASAL AUTOM. NO CRUSH HUDSON 1820	16
TELEMETRIA ECG CON SATURACION DE OXIGENO	16
NEXIUM FCO AMP 40MG IV	16
FALOT FCO AMP 1G	16
ESTUDIO HISTOPATOLOGICO TIPO B	15
ATROPISA AMP 1MG/ML	15
BUSCAPINA AMP 20MG/ML	15
SERVICIO INTEGRAL CIRUGIA LAPAROSCOPICA	15
CLEXANE JGA 60MG/0.6ML	15
CUBREBOCA DE ALTA FILTRACION C/OREJERAS	15
EQUIPO P/VENOPUNCION AD C/CLORHERIDINA V	15
COLCHON DE PRESION ALTERNA (USO)	15
ALIN AMP 8MG/2ML	15
RADIOGRAFIA PORTATIL	15
USO DE GLUCOMETRO	15
FLEBOTEK INFUSOMAT 0-150 CON CLAVE	15
MEDIA TED AL MUSLO MEDIAN-LGA 3549LF	15
IMODIUM TAB 2MG	15
METICORTEN TAB 20MG	15
UNIVAL TAB 1G	15
VICRYL VIOLET 0 70 CM UR-6 J603H	15
APOSITO DE ALGODON ESTERIL 20 CM	15
USO DE CUBICULO DE OBSERVACION MAS DE 4	14
VIDEO-ENDOSCOPIO ALTA DEFINICION (USO)	14
NIMBEX AMP 2MG/ML 5ML	14
TC ABDOMEN SIMPLE Y CONTRASTADA	14
DIFLUCAN FCO AMP 2MG/ML 50ML	14
CIRCUITO RT-202 P/VENT NO INVASIVA	14
TC ABDOMEN SIMPLE	14
GIRATEK C/EXTENSION 80 CM	14
SONDA FOLEY 2 VIAS 16 FR 5CC 180705160	14
CEFALOTINA FCO AMP 1G/5ML	14
ESPONJA P/ BANO	14
ABDOMEN SIMPLE 1 PROYECCION	14
CANULA NASAL 2.10MTS 1325 1300130	14
EPICLODINA AMP 150MCG/ML	13
TELEMETRIA (USO)	13
CAPIN BH AMP 20MG/ML	13
PANCLASA CAP 80MG/80MG	13
PISACAINA AMP 2% 200MG/10ML	13
ONICIT FCO AMP 0.05MG/ML 1.5ML	13
RELACUM AMP 5MG/5 ML	13
ESTUDIO HISTOPATOLOGICO TIPO A	13
CHLORAPREP 26 MLCON TINTE NARANJA 261815	13
CONTUMAX PVO SOB 17G	13
CIRUGIA MAYOR 2 HRS CIR	13
PIRIMIR TAB 100MG	13
CAPERUZA PROTECTORA 394.970	13
ENOXAPARINA SODICA JER 40MG/0.4ML	13
MONITOREO ADULTO (USO)	13
U S UNA REGION	13
ONDANSENTRON AMP 8 MG/4 ML	13
MICRONEBULIZADOR C/MASCARA ADULTO 002033	13
DISCO DVD +R 4.5	13
PELICULA PROTECTORA P/STOMAS 037444	13
CHLORAPREP 3 ML S/TINTE 260400	13
CREATINFOSFOQUINASA (CPK)	13
SONDA ENDOTRAQUEA C/GBO. 70 MM 100/199/0	13
DEXTROSA AL 5% DE 100 ML 1545	13
CREATININA	13
CONECTOR 5 EN 1 DELGADO 7351	13
JERINGA ASEPTO DESECHABLE 60 ML 4090	13
CAT INSYTE AUTOGUARD BC 20GAX30MM 381044	13
ANAPSIQUE TAB 25MG	13
ROPICONEST AMP 7.5MG/ML 20ML	13
PREOPERATORIO BASICO	12
FENATEN AMP 250MG/5ML	12
APLICADOR CHLORAPREP DE 26 ML	12
PERFIL HEPATICO I	12
EXTRACTOR CALCULOS 3FR X115CM 030115-UDH	12
SERVICIO INTEGRAL CON BISTURI ARMONICO	12
MONOCRYL*PLUS MCP936H	12
INHEPAR FCO AMP 1000UI/ML 10ML	12
METILPREDNISOLONA FCO AMP 500MG/8ML	12
ASPIRINA PROTEC TAB 100MG	12
DAGLA TAB 50MG	12
DICYNONE AMP 250MG/2ML	12
VALIUM AMP 10MG/2ML	12
SERVICIO PARA CISTOSCOPIA DIAGNOSTICA DO	12
CLORURO DE POTASIO 1.49G/10MLC/50 GI	12
ENOXAPARINA SODICA JER 60MG/0.6ML	12
ATENCION MEDICA ESPECIALIZADA EN RECUPER	12
CANULA GUEDEL 5 10 CM 3 BLANCA 330010	12
FLUONING 500MG SOL INY FLEXO 100ML	12
METOCLOPRAMIDA AMP. 10 MG/2 ML	11
PAQUETE UNIVERSAL 29107	11
PAu00d1AL ADULTO C/RESORTE GRANDE	11
HIDRASEC CAP 100MG	11
UROEOTEK SIT INY CONX LUER LOCK	11
LEVOFLOXACINO MINIBAG 500 MG / 100 ML	11
ARCO P/FLUOROSCOPIA 30 MIN (USO)	11
PRODOLINA AMP 2G/4ML	11
ZOFRAN AMP 4 MG/2 ML	11
FUNDA P/LAPAROSCOPIOLTE MOD. 201	11
NITROGENO UREICO (BUN)	11
CULTIVO DE VARIOS	11
GUIA CORRECAM.035'X145 RECTA RPC 0351450	11
TAFIL TAB 0.25MG	11
KIT P/ASPIRACION DE SECRECIONES 14FR	11
SONDA ENDOTRAQUEA C/GBO. 75 MM 100/199/0	11
TUBO PENROSE 1/4' 514604	11
ASISTENCIA TECNICA EN QUIROFANO APR	11
VENDA ELASTICA 5 CM X 5 MT. 13002	11
REACCIONES FEBRILES	11
AMILASA	11
CIPROFLOXACINO 400/200ML FAM	10
MASCARILLA SUPRAGLOTICA (USO)	10
CEFALEXINA CAP 500MG	10
GALVUSMET 50/850MG CPR	10
ROCEPHIN FCO AMP 1G/10ML IV	10
LOMOTIL TAB 2MG	10
KETOROLACO SOL. INY. AMP. 30 MG/ 1 ML	10
UNAMOL CPR 10MG	10
FLEET ADULTO 133 ML	10
OMEPRAZOL FCO AMP 40 MG	10
CYMBALTA CAP 60MG	10
MICCIL CPR 1MG	10
U S PELVICO	10
CEFTRIAXONA I. V. AMP. 1 G.	10
PAQ.INTEG.LAPAROSC.GRAL. MEDPOL PLG00868	10
TEGADERM CHG 7X8.5CM 1660	10
SOLUCION GC 10% AMP 10 ML	10
ZOFRAN AMP 8 MG/4ML	10
INHIBITRON FCO AMP 40MG/10ML	10
LEFEBRE AMP 0.40MG/ML	10
U S ABDOMEN SUPERIOR (VES HEPATOVES HEPA	10
DISPOSITIVO COLECTA ENDOPOUCH POUCH	10
TRIFLO INSPIROMETRO INCENTIVO 2591200	10
CO-PLAVIX TAB 75MG/100MG	10
MAQUINA DE ANESTESIA 2 HORAS (USO)	10
LIPITOR TAB 40MG	9
ANGIOTROFIN TAB 30MG	9
M.V.I. 12 AD FCO AMP 5ML	9
ULSEN FCO AMP 40MG/10ML	9
GASES EN SANGRE APR	9
BOMBA DE PRESION ALTERNA (USO)	9
LAPIZ INTERRUPTOR DE MUELLE EDGE E2350H	9
DEXTROSA AL 5% DE 250 ML 84	9
KIT CURACION I.V. 2602	9
EXFORGE HCT COMP 10/320/25MG	9
TEGADERM IV 5X5.7 CM 3M	9
KETOROLACO TAB. 10 MG.	9
HOJA P/ BISTURI 20 371234	9
PEMIX TAB 1MG	9
PERFIL TIROIDEO	9
MONITOR PRE O POST OPERATORIO (USO)	9
CATETER INTRAVENOSO 18 4055 INSYTE	9
ESP D/GASA 10X10CM 12C T28X24 E C/10PZAS	9
MICRO CLAVE C/EXT.MICRO 25CM 2V 4031207	9
PRECEDEX FCO AMP 200MCG/2ML	9
CARGO USO DE HAB TERAPIA INTERMEDIA SENC	9
ADALAT OROS TAB LIB PROL 30MG	9
TABALON TAB 400MG	9
USO DE CUBICULO DE OBSERVACION HASTA 2 H	9
CLEXANE JGA 20MG/0.2ML	9
TEMPRA TAB 500MG	9
RECOFOL AMP 20MG/ML 20ML	9
CIRCUITO DE ANESTESIA AFNX2904 SIGNS	8
PROTEINA 'C' REACTIVA ULTRASENSIBLE	8
MINIPRES CAP 2MG	8
SUPRA TAB 4 MG	8
EXFORGE CPR 5MG/160MG	8
TENDRIN AMP 50MG/2ML	8
GUANTE ESTERIL 7 2D7270	8
KIT SELLO DE HEPARINA	8
KIT DE CURACION CHLORAPREP Y TEGADERM IV	8
GLUCOSA	8
OXIMETRIA DE PULSO (24 HORAS)	8
SONDA ENDOTRAQUEA C/GBO 70 MM 100/199/07	8
PISACAINA FCO AMP 2% 20MG/ML 50 ML	8
TEGADERM 1626 10 X 12 CM 1626	8
VICRYL 1/0 EJ10C ENDOLOOP	8
RIVOTRIL SOL FCO GTS 10ML	8
SONDA LEVIN 16FR K-10	8
FLUCOXAN FCO 2MG/ML 50 ML	8
INSTRUMENTAL PARA CIRUGIA ESPECIALIDAD	8
JARDIANZ TAB 10 MG	8
CAT INSYTE AUTOGUARD BC 18GAX30MM 381034	8
TUBO CORRUGADO 2 MTS COR FLEX	8
METRONIDAZOL 500 MG. TAB FGI	8
DEXAMETAZONA FAM 8 MG 2ML	8
AMK AMP 500MG/2ML	8
GUANTE EXAM. MDS195074 CHICA VINIL	8
SOLUCION DX-50 50ML	8
FLEBOTEK INFUSOMAT NORMAL OPACO	8
CAM HUMIDIFICADORA AUTOLLENADO DESECH	8
LANOXIN TAB 0.25MG	8
LIPITOR DUO TAB 20 MG	8
HEMOCULTIVO	8
TIENDA FACIAL ADULTO 001220	8
CATETER INTRAVENOSO INSYTE 381212 24GA	8
SENSOR BIS XP ADULTO 186-0106	8
JABONGERM 120 ML	8
GUANTE ESTERIL 6 1/2 2D7265	8
TC UROTOMOGRAFIA	8
TEGADERM PAD. 9X35 (3593)	8
GRUPO ABO Rh	8
APLICADOR ISOPO ESTERIL 0805020 EST	8
CARDISPAN AMP 1G/5ML	8
PANTOZOL TAB 40MG	8
CLEXANE JGA 80MG/0.8ML	7
MICARDIS PLUS TAB 80 MG/12. MG	7
SONDA NELATON ROJA 16 FR 492058	7
DERMALON 3-0 1744-41 CE-6	7
ENDOZIME INTRUSPONGE FLEX 3MMX240CM 4013	7
VIDEOENDOSCOPIA (USO)	7
BUTILHIOCINA AMP. 20MG. FGI	7
DIFLUCAN CAP 100MG	7
GUANTE EXAM. MDS 1975076 GDE. VINIL	7
APOYO BIOMEDICO EXTRAORODINARIO C/CARGO	7
TRITACE TAB 2.5MG	7
PINZA P/BOLSA DRENABLE 7770	7
PROCORALAN TAB 5 MG	7
SALA ENDOSCOPIA HASTA 1 HR	7
BACTRIM TAB 80/400 MG	7
EQUIPO P/VENOPUNCION PEDIATRICA VEP001-4	7
LARINGOSCOPIO OPTICO AIR TRAQ	7
LASER DORNIER HOLMIO 20 WATTS (USO)	7
REMOVEDOR ADHESIVO UNIV. TOALLA 7760	7
PERCUSION INTRAPULMONAR CARGO DIARIO	7
EQUIPO P/CAMBIO DE NPT ESTERIL	7
VENTILACION ALTO FLUJO	7
FOTEXINA IG INY IV	7
SELOKEN ZOK GRAG 95MG	7
PISAPEM FCO AMP 500MG	7
DREN BLAKE SIL 19FR CON TROCAR 2232	7
KIT CURACION TIJERA Y PINZA 4131	7
TEGADERM PAD 3590 9 X 20	7
U S RENAL	7
RANITIDINA AMP.50 MG 5ML	7
ALNEX AMP 1G/2ML	7
RANISEN AMP 50MG/2ML	7
REHABILITACION PULMONAR C/SESION 60 M	7
LACTEOL FORT CAP 170 MG	7
PROTECTOR CUTANEO NOSTING BARRIER 28 ML	7
GIABRI 100 MG	7
EXFORGE HCT CPR 5MG/160MG/12.5MG	7
TEMPRA FCO AMP 500MG/50ML	7
CONO P/OTOSCOPIO 4.25MM WA52434-U BOX	7
ELECTROCARDIOGRAMA (USO)	7
HEMODIALISIS CRONICA BICARBONATO	7
GASA 75 X 5 CM C/12 CAPAS RT TEJ 20X12	7
SUJETADOR SONDA FOLEY ADULTO FOLO100	7
RESERVORIO 2160 100CC SUCTION	6
HEMOGLOBINA GLUCOSADA	6
EQUIPO P/INST. DE CATETER ESTERIL 2025	6
INDAMID AMP 300MG/2ML	6
TRAYENTA DUO 2.5/500MG TAB	6
TRADOL RETARD TAB 100MG	6
BIOMICS CAP 400 MG	6
OLICLINOMEL N7 BOLSA 2000ML	6
CONECTOR TUBO DE ALIMENTACION 9786	6
PISACAINA 2% C/EPINF FCO AMP 50ML	6
SENSOR NEONAT 18 INCH MLNCS 2514	6
HUMIDIFICADOR 500ML 4PSI 3230	6
TEGADERM CHG 10X12 1658R	6
USO DE COMPRESOR MEDIAS (USO)	6
LIBONIDE FCO AMP 0.250MG/ML	6
CUBREBOCA DE ALTA FILTRACION 48100-G	6
CAT INSYTE AUTOGUARD BC 22GAX25MM 381023	6
ACTRON CAP 600MG	6
PERFIL CARDIACO II	6
SEDA N.A. 2-0 SH K833H	6
STERI STRIP 0.6 X 10 CM R1546	6
METICORTEN TAB 50MG	6
TROPONINA I	6
BATA PEDIATRICA DESECHABLE A31A001	6
SUCRALFATO 1 G. TAB	6
ACTRON CAP 400MG	6
PROSTIGMINE AMP. 0.5 MG/1 ML	6
AGUJA ESTERIL DESECHABLE 20X32 2565	6
PROTECTOR P/LAMPARA QUIRURGICA 8002	6
INSULEX R FCO AMP 100UI /ML 10ML	6
PISACAINA 2 % FCO AMP 50 ML	6
QUIMICA SANGUINEA 4 GLUC BUN CREAT AU	6
TIEMPO DE TROMBINA	6
DEPOSITO EN GARANTIA DE CONTROL REMOTO	6
SEDA P.H. 2-0 S/A SA85T	6
TEMGESIC AMP 0.30MG/ML	6
CIPROFLOX FCO AMP 400MG/200ML	6
ENDOZIME SPONGE 345SPG	6
MERREM FCO AMP 1G IV	6
COLCHON TERMICO QUIRURGICO	6
LEVOFLOXACINO MINIBAG 750 MG / 150 ML	6
USO DE MATERIAL DE ASEPSIA Y CURACION UC	6
TORRE DE VIDEO (USO)	6
AMLODIPINO TAB 5MG	6
MEROPENEM FCO AMP 500 MG I.V.	6
ONEMER SL 30MG C/4 TAD.SUDLING CAT. 4002	6
ENDO BAG 7.5 X 15 250-30	6
GUANTE ORTOPEDICO 7 1/2	6
ECOCARDIOGRAMA BIDIMENSIONAL	6
LAVAMANOS REDONDO	6
GLIMETAL 1000 MG/2 MG TAB	6
SONDA LEVIN 18FR K-11	6
FIBRINOGENO CLAUSS	6
CLINDAMICINA SOL.INY.300 MG 2 ML FGI	6
TEGADERM PARCHE 3589 PAD	6
GUANTE EXAM. MDS195075 MED. VINIL	6
METRONIDAZOL FLEX 500MG/100ML INY.	6
ULTRAVIST 300 FCO 50 ML AL 62.3%	6
NAVAJA PARA USO GENERAL	6
DEXTROSA AL 5% DE 500 ML 85	6
RANITIDINA AMP 50MG/2ML	6
BD INSYTE AUTOGUARD 22GAX1IN(09 MMX25 MM	6
BOLSA HIELO DESECHABLE 33630	6
COLCHON DE TERAPIA PULSATIL	6
ENDO CATCH 10 MM SPECIMEN 173050	5
FENODID AMP 0.25MG/5ML	5
U S ABDOMEN COMPLETO	5
VECURONIO IV.4MG. AMP/50X2ML.	5
LIBERTRIM SII CPR 200MG/75MG	5
CIRCUITO UNIVER F CATFGL-9F366-136XHAP	5
CEFAXONA FCO AMP 500MG IV	5
SONDA ENDOTRAQUEA C/GBO. 80 MM 100/199/0	5
ATROVENT 500 MCG SOL. 2 ML	5
MINISPIKE PUN EST VAL .45 4550560	5
CEFOTAXIMA SOL.INY 1G.4ML.IV	5
OLICLINOMEL N7 BOLSA 1000ML	5
EQUIPO P/CURACION CAT C/CHORAPREP	5
PRIDAM AMP 4MG/4ML	5
TETS INSTRUSPONGE 3MM 4024071	5
TRAMACET TAB 37.5MG/325MG	5
ROPICONEST AMP 2 MG/ML 20ML	5
GUANTE ESTERIL 7 1/2 2D7275	5
BEZAFIBRATO TAB 200MG FGI	5
EPAMIN SP AMP 250MG/5ML	5
VICRYL 1 H CT-1 J341H	5
ALCOHOL DESNATURALIZADO 110 ML 1910110	5
AGUJA BD ULTRA FINE 31GX8MM	5
