iddiagnostico	descripcion	codigo_cie9	codigo_cie10
69	DEGENERACION DISCO INTERVERTEBRAL CERVICAL	7224  	NULL
70	DIARREA INFECCIOSA NO ESPECIFICADO	0092  	NULL
71	ENTERITIS REGIONAL INTESTINO GRUESO	5551  	NULL
72	ABSCESO Y CELULITIS OTRA	682   	NULL
73	BLOQUEO AURICULOVENTRICULAR COMPLETO	4260  	NULL
74	HEMATURIA	5997  	NULL
75	DIVERTICULO COLON	5621  	NULL
76	CESAREA ANTERIOR NO ESPECIFICADO	6542  	NULL
77	CATARATA SENIL	3661  	NULL
78	PIELONEFRITIS AGUDA	5901  	NULL
79	HIPOVOLEMIA	2765  	NULL
80	ENFERMEDAD CARDIACA ISQUEMICA CRONICA OTRA	414   	NULL
81	PIELONEFRITIS O PIONEFROSIS OTRA	5908  	NULL
82	ENFERMEDAD DISCO INTERVERTEBRAL	722   	NULL
83	GASTRITIS,ENTERITIS Y COLITIS INFECCIOSA	0090  	NULL
84	CEFALEA	7840  	NULL
85	ENFERMEDAD VASCULAR PERIFERICA NO ESPECIFICADO	4439  	NULL
86	BRONCONEUMONIA ORGANISMO NO ESPECIFICADO	485   	NULL
87	DERRAME PLEURA NO ESPECIFICADO	5119  	NULL
88	COLELITIASIS CON COLECISTITIS AGUDA	5740  	NULL
89	ESGUINCE CRUZADO RODILLA	8442  	NULL
90	NEUMONIA EN ENF INFECCIOSA COC OTRA	4848  	NULL
91	MIELOMA MULTIPLE	2030  	NULL
92	ENCEFALOPATIA NCOC	3483  	NULL
93	ASMA	493   	NULL
94	LEUCEMIA MIELOIDE AGUDA	2050  	NULL
95	DESPROPORCION FETOPELVICA	6534  	NULL
96	ISQUEMIA CEREBRO TRANSITORIA	435   	NULL
97	NEURALGIA,NEURITIS Y RADICULITIS NO ESPECIFICADO	7292  	NULL
98	NEUMONIA POR BACTERIA OTRA	482   	NULL
99	INFECCION VIA AEREA SUPERIOR AGUDA MULTIPLE	465   	NULL
100	ESTADO COLOSTOMIA	V443  	NULL
101	FRACTURA TOBILLO	824   	NULL
102	INFECCION POR VIRUS INMUNODEFICIENCIA HUMANA [HIV]	042   	NULL
103	EPILEPSIA	345   	NULL
104	ALTERACION MENISCO OTRA	7175  	NULL
105	NEUMONIA EN ENF INFECCIOSA COC	484   	NULL
106	CARCINOMA IN SITU ORGANO GENITAL FEMENINO OTRO Y NO ESPECIFICADO	2333  	NULL
107	HERNIA VENTRAL SIN OBSTRUCCION NI GANGRENA	5532  	NULL
108	VARICES MIEMBRO INFERIOR CON INFLAMACION	4541  	NULL
109	SINCOPE Y COLAPSO	7802  	NULL
110	VALVULOPATIA AORTICA REUMATICA	395   	NULL
111	ESTENOSIS VALVULA MITRAL REUMATICA	3940  	NULL
112	NEOPLASIA MALIGNA PANCREAS	157   	NULL
113	SINOVITIS Y TENOSINOVITIS	7270  	NULL
114	CARCINOMA IN SITU BRONQUIO Y PULMON	2312  	NULL
115	ANEURISMA CEREBRO NO ROTO	4373  	NULL
116	ARTRITIS REUMATOIDE	7140  	NULL
117	HEMORRAGIA INTRACEREBRAL	431   	NULL
118	ESGUINCE TOBILLO Y PIE	845   	NULL
119	LEUCEMIA LINFOIDE AGUDA	2040  	NULL
120	ULCERA DECUBITO NO ESPECIFICADO	7070  	NULL
121	ENDOMETRIOSIS	617   	NULL
122	VARICES MIEMBRO INFERIOR	454   	NULL
123	GASTRITIS Y DUODENITIS	535   	NULL
124	NEOPLASIA MALIGNA RECTO	1541  	NULL
125	POLINEUROPATIA EN ENF COC OTRA	3574  	NULL
126	INFECCION POR VIRUS INTESTINO	0086  	NULL
127	DEGENERACION MACULA Y POLO POSTERIOR	3625  	NULL
128	MIGRAÑA	346   	NULL
129	DESPLAZAMIENTO DISCO TORACICO O LUMBAR SIN MIELOPATIA	7221  	NULL
130	HEMORROIDES	455   	NULL
131	NEOPLASIA MALIGNA BRONQUIO O PULMON LOBULO SUPERIOR	1623  	NULL
132	NEOPLASIA MALIGNA ESCAPULA Y HUESO LARGO MIEMBRO SUPERIOR	1704  	NULL
133	FETO Y NEONATO AFECTADO POR PARTO POR CESAREA	7634  	NULL
134	FRACTURA RADIO Y CUBITO	813   	NULL
135	LINFOMA NODULAR	2020  	NULL
136	ABSCESO RECTO Y ANO	566   	NULL
137	COLELITIASIS CON OTRA COLECISTITIS	5741  	NULL
138	NEOPLASIA MALIGNA AMPOLLA DE VATER	1562  	NULL
139	EMBOLIA E INFARTO PULMON	4151  	NULL
140	COMPLICACION GASTROSTOMIA	5364  	NULL
141	NEOPLASIA MALIGNA BRONQUIO O PULMON NO ESPECIFICADO	1629  	NULL
142	BRONQUIOLITIS AGUDA	4661  	NULL
143	FALLO RENAL TRAS ABORTO Y EMBARAZO ECTOPICO	6393  	NULL
144	DESPLAZAMIENTO DISCO LUMBAR SIN MIELOPATIA	72210 	NULL
145	DEHISCENCIA ANTIGUA LIGAMENTO CRUZADO ANTERIOR	71783 	NULL
146	NEOPLASIA MALIGNA VEJIGA	188   	NULL
147	ESGUINCE TOBILLO	8450  	NULL
148	ALTERACION CUERNO POSTERIOR MENISCO MEDIAL	7172  	NULL
149	SINUSITIS AGUDA	461   	NULL
150	NEOPLASIA MALIGNA PLEURA	163   	NULL
151	ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA NCOC Y NO ESPECIFICADO	496   	NULL
152	VARICES ESCROTO	4564  	NULL
153	ENFERMEDAD GLOBO OJO	360   	NULL
154	CONVULSION	7803  	NULL
155	NEOPLASIA MALIGNA GLANDULA TIROIDES	193   	NULL
156	PORTADOR HEMOFILIA A	V830  	NULL
157	GASTRITIS,ENTERITIS Y COLITIS POR SALMONELLA	0030  	NULL
158	RINITIS ALERGICA	477   	NULL
159	ENFERMEDAD CARTILAGO ARTICULAR	7180  	NULL
160	SUPERVISION EMBARAZO ALTO RIESGO	V23   	NULL
161	NEOPLASIA MALIGNA ESTOMAGO	151   	NULL
162	DESGARRO MENISCO INTERNO RODILLA	8360  	NULL
163	ANEURISMA AORTA ABDOMINAL SIN ROTURA	4414  	NULL
164	FIEBRE NO ESPECIFICADO Y ORIGEN DESCONOCIDO	7806  	NULL
165	NEOPLASIA MALIGNA TESTICULO	186   	NULL
166	OBSTRUCCION INTESTINO NO ESPECIFICADO	5609  	NULL
167	NEUMOTORAX Y HEMOTORAX TRAUMATICO	860   	NULL
168	GLAUCOMA	365   	NULL
169	CISTITIS	595   	NULL
170	OSTEOARTROSIS LOCALIZADA PRIMARIA RODILLA	71516 	NULL
171	ANEMIA EMBARAZO	6482  	NULL
172	TROMBOSIS O EMBOLIA VENOSA OTRA	453   	NULL
173	LUXACION HOMBRO	831   	NULL
174	ENFERMEDAD DE HODGKIN	201   	NULL
175	CARCINOMA IN SITU PROSTATA	2334  	NULL
176	LUXACION CADERA	835   	NULL
177	HERNIA UMBILICAL SIN OBSTRUCCION NI GANGRENA	5531  	NULL
178	NEOPLASIA MALIGNA TRAQUEA,BRONQUIO Y PULMON	162   	NULL
179	DESPLAZAMIENTO DISCO CERVICAL SIN MIELOPATIA	7220  	NULL
180	LUXACION RODILLA	836   	NULL
181	ANEMIA POR CARENCIA HIERRO	280   	NULL
182	DOLOR TORAX	7865  	NULL
183	SINDROME DISTRESS RESPIRATORIO NEONATO	769   	NULL
184	ENFERMEDAD CEREBROVASCULAR AGUDA MAL DEFINIDA	436   	NULL
185	COLICO RIÑON	7880  	NULL
186	NEUMONOPATIA EN ENF COC	517   	NULL
187	ABSCESO Y CELULITIS BOCA	5283  	NULL
188	NEOPLASIA MALIGNA LARINGE	161   	NULL
189	HIDROCEFALIA OBSTRUCTIVA	3314  	NULL
190	COLELITIASIS SIN COLECISTITIS	5742  	NULL
191	VALVULOPATIA MITRAL NO REUMATICA	4240  	NULL
192	OSTEOARTROSIS	715   	NULL
193	FIMOSIS	605   	NULL
194	SINUSITIS CRONICA	473   	NULL
195	APENDICITIS AGUDA CON ABSCESO PERITONEAL	5401  	NULL
196	NEOPLASIA EVOLUCION INCIERTA MAMA	2383  	NULL
197	DEFECTO TABIQUE INTERAURICULAR	7455  	NULL
198	INSUFICIENCIA VENOSA NO ESPECIFICADO	45981 	NULL
199	DIABETES MELLITUS CON CETOACIDOSIS	2501  	NULL
200	REFLUJO ESOFAGO	53081 	NULL
201	NEOPLASIA MALIGNA CUERPO UTERO	182   	NULL
202	OTITIS MEDIA NO ESPECIFICADO	3829  	NULL
203	ADENOCARCINOMA	M81403	NULL
204	ENFERMEDAD CARDIACA PULMONAR AGUDA	415   	NULL
205	DIVERTICULO INTESTINO	562   	NULL
206	HALLUX VALGUS ADQUIRIDO	7350  	NULL
207	NEOPLASIA BENIGNA OVARIO	220   	NULL
208	RETINOPATIA DIABETICA	3620  	NULL
209	HIPOSMOLARIDAD O HIPONATREMIA	2761  	NULL
210	ENFERMEDAD MUSCULO,LIGAMENTO Y FASCIA	728   	NULL
211	FIBROSIS PULMON POSTINFLAMATORIA	515   	NULL
212	COLEDOCOLITIASIS CON COLECISTITIS AGUDA	5743  	NULL
213	INFECCION POR LEISHMANIA	085   	NULL
214	PERITONITIS	567   	NULL
215	HIPERTROFIA AMIGDALA Y ADENOIDE	4741  	NULL
216	CALCULO URETRA	5942  	NULL
217	NEOPLASIA MALIGNA CEREBRO	191   	NULL
218	NEOPLASIA MALIGNA RECTO Y ANO	154   	NULL
219	ROTURA TENDON NO TRAUMATICA	7276  	NULL
220	EFECTO TARDIO ENFERMEDAD CEREBROVASCULAR	438   	NULL
221	EDEMA PULMON AGUDO NO ESPECIFICADO	5184  	NULL
222	TRAUMATISMO HIGADO	864   	NULL
223	INFECCION POR HAEMOPHILUS INFLUENZAE EN ENF COC Y NO ESPECIFICADO	0415  	NULL
224	NEUMONIA POR OTRAS BACTERIAS ESPECIFICADAS(FU)	4828  	NULL
225	NEOPLASIA MALIGNA HIGADO Y CANAL INTRAHEPATICO	155   	NULL
226	AMIGDALITIS Y ADENOIDITIS CRONICA	4740  	NULL
227	ESTADO ANSIEDAD	3000  	NULL
228	NEOPLASIA MALIGNA ESTOMAGO CURVADURA MENOR	1515  	NULL
229	ENFERMEDAD DISCO INTERVERTEBRAL LUMBAR OTRO	72293 	NULL
230	BRONQUITIS Y BRONQUIOLITIS AGUDA	466   	NULL
231	HEMORROIDES NO ESPECIFICADO CON COMPLICACION OTRA	4558  	NULL
232	QUISTE OVARIO OTRO Y NO ESPECIFICADO	6202  	NULL
233	SINDROME TUNEL CARPIANO	3540  	NULL
234	DEGENERACION DISCO INTERVERTEBRAL NO ESPECIFICADO	7226  	NULL
235	NEOPLASIA MALIGNA COLON SIGMOIDE	1533  	NULL
236	AMENAZA ABORTO	6400  	NULL
237	ENDOMETRIOSIS OVARIO	6171  	NULL
238	FRACTURA TIBIA Y PERONE	823   	NULL
239	ENFERMEDAD DISCO INTERVERTEBRAL CON MIELOPATIA	7227  	NULL
240	MALOCLUSION NO ESPECIFICADO	5244  	NULL
241	DEHISCENCIA HERIDA OPERATORIA	9983  	NULL
242	TAQUICARDIA VENTRICULAR PAROXISTICA	4271  	NULL
243	DESGARRO MENISCO EXTERNO RODILLA	8361  	NULL
244	VERTIGO ORIGEN CENTRAL	3862  	NULL
245	NEOPLASIA MALIGNA VEJIGA URACO	1887  	NULL
246	ENFERMEDAD INTESTINO NO ESPECIFICADO	5699  	NULL
247	GASTRITIS,ENTERITIS Y COLITIS PRESUNTAMENTE INFECCIOSA	0091  	NULL
248	NEOPLASIA MALIGNA RIÑON Y OTRO ORGANO URINARIO	189   	NULL
249	INTOXICACION ALIMENTARIA POR BACTERIA NO ESPECIFICADO	0059  	NULL
250	OROS PROBLEMAS RESPIRATORIOS POSTERIORES AL NACIMIENTO(FU)	7708  	NULL
251	GASTRITIS Y DUODENITIS NO ESPECIFICADO	5355  	NULL
252	NEONATO NACIDO PRETERMINO OTRO	7651  	NULL
253	SEPTICEMIA	038   	NULL
254	NEOPLASIA EVOLUCION INCIERTA RETROPERITONEO Y PERITONEO	2354  	NULL
255	NEOPLASIA MALIGNA ESTOMAGO NO ESPECIFICADO	1519  	NULL
256	EFECTO TARDIO ESGUINCE Y TORCEDURA SIN LESION TENDON	9057  	NULL
257	BRONQUITIS NO ESPECIFICADO	490   	NULL
258	ENFERMEDAD CARDIACA ISQUEMICA AGUDA OTRA	411   	NULL
259	ESTENOSIS URETER	5933  	NULL
260	ARTROPATIA OTRA HOMBRO	71681 	NULL
261	APENDICITIS AGUDA CON PERITONITIS GENERALIZADA	5400  	NULL
262	VARICES ESOFAGO EN ENF COC	4562  	NULL
263	POLINEUROPATIA INFECCIOSA AGUDA	3570  	NULL
264	OSTEOARTROSIS NO ESPECIFICADO RODILLA	71596 	NULL
265	HEMORRAGIA GASTROINTESTINAL NO ESPECIFICADO	5789  	NULL
266	NEOPLASIA BENIGNA GLANDULA TIROIDES	226   	NULL
267	EMBOLIA CEREBRO	4341  	NULL
268	CONTUSION RODILLA Y PIERNA	9241  	NULL
269	HEMORRAGIA SUBARACNOIDEA SIN HERIDA CRANEAL ABIERTA	8520  	NULL
270	TAQUIPNEA TRANSITORIA NEONATO	7706  	NULL
271	FIEBRE INTERMITENTE	087   	NULL
272	ALTERACION MENISCO LATERAL	7174  	NULL
273	NEOPLASIA MALIGNA SECUNDARIA PULMON	1970  	NULL
274	COMPLICACION MECANICA IMPLANTACION O INJERTO ORTOPEDICO	9964  	NULL
275	ACCIDENTE POR PROYECTIL ARMA FUEGO NO ESPECIFICADO	E9229 	NULL
276	ALTERACION MENISCO MEDIAL OTRA	7173  	NULL
277	FRACTURA HUMERO	812   	NULL
278	ANEMIA NO ESPECIFICADO	2859  	NULL
279	PARTO PREMATURO O AMENAZA PARTO	644   	NULL
280	ESPONDILITIS ANQUILOSANTE	7200  	NULL
281	DISRITMIA CORAZON	427   	NULL
282	CONTUSION CARA,CUERO CABELLUDO Y CUELLO SALVO OJO	920   	NULL
283	JUANETE	7271  	NULL
284	EMBARAZO NORMAL(FU)	00360 	NULL
285	LEUCEMIA LINFOIDE CRONICA	2041  	NULL
286	CISTITIS AGUDA	5950  	NULL
287	QUISTE FOLICULAR OVARIO	6200  	NULL
288	HIPOTIROIDISMO ADQUIRIDO	244   	NULL
289	NEUMOTORAX	512   	NULL
290	HEMORRAGIA INTRACRANEAL NO ESPECIFICADO	4329  	NULL
291	ESPONDILOSIS CERVICAL CON MIELOPATIA	7211  	NULL
292	HERNIA DIAFRAGMATICA SIN OBSTRUCCION NI GANGRENA	5533  	NULL
293	DESGARRO MENISCO RODILLA OTRO	8362  	NULL
294	ULCERA ESTOMAGO	531   	NULL
295	GRIPE CON NEUMONIA	4870  	NULL
296	LINFOMA DE BURKITT	2002  	NULL
297	FRACTURA CUELLO FEMUR	820   	NULL
298	ENFERMEDAD ESOFAGO	530   	NULL
299	FISTULA POSTOPERATORIA PERSISTENTE	9986  	NULL
300	FRACTURA FALANGE MANO	816   	NULL
301	PIE PLANO ADQUIRIDO	734   	NULL
302	CHOQUE SEPTICO	78552 	NULL
303	ENTEROCOLITIS NECROTIZANTE FETO Y NEONATO	7775  	NULL
304	DISPLASIA CERVIX	6221  	NULL
305	ENFERMEDAD DISCO INTERVERTEBRAL CON MIELOPATIA LUMBAR	72273 	NULL
306	ABORTO DIFERIDO	632   	NULL
307	ESTENOSIS URETRA	598   	NULL
308	ESGUINCE CUELLO	8470  	NULL
309	OBSTRUCCION INTESTINO SIN HERNIA	560   	NULL
310	MENINGITIS NO ESPECIFICADO NO ESPECIFICADO	3229  	NULL
311	INCONTINENCIA ORINA	7883  	NULL
312	DESGARRO ANTIGUO FISURARIO MENISCO MEDIAL	7170  	NULL
313	DEFECTO TABIQUE INTERVENTRICULAR	7454  	NULL
314	ASCITIS	7895  	NULL
315	ESTREÑIMIENTO	5640  	NULL
316	DENGUE	061   	NULL
317	GRIPE CON MANIFESTACION REPIRATORIA OTRA	4871  	NULL
318	TROMBOFLEBITIS Y FLEBITIS	451   	NULL
319	TRAUMATISMO DIAFRAGMA CON TRAUMA TORACOBDOMINAL CERRADO	8620  	NULL
320	DIARREA FUNCIONAL	5645  	NULL
321	NEOPLASIA MALIGNA RETROPERITONEO	1580  	NULL
322	FISTULA INTESTINAL(FU)	5698  	NULL
323	COMPRESION CORDON ALREDEDOR CUELLO	6631  	NULL
324	ESPONDILOLISTESIS CONGENITA	75612 	NULL
325	ESGUINCE SUPRAESPINOSO	8406  	NULL
326	LUPUS ERITEMATOSO	6954  	NULL
327	HIPERTROFIA CORNETE	4780  	NULL
328	ULCERA DUODENO AGUDA CON PERFORACION	5321  	NULL
329	NEOPLASIA EVOLUCION INCIERTA PLEURA,TIMO Y MEDIASTINO	2358  	NULL
330	BRONQUITIS CRONICA OBSTRUCTIVA	4912  	NULL
331	PSICOSIS ESQUIZOAFECTIVA	2957  	NULL
332	HIDRONEFROSIS	591   	NULL
333	URTICARIA	708   	NULL
334	VALVULOPATIA VALVULA NO ESPECIFICADO NO REUMATICA	4249  	NULL
335	SINTOMA APARATO DIGESTIVO	787   	NULL
336	ROTURA PREMATURA MEMBRANA	6581  	NULL
337	TAQUICARDIA SUPRAVENTICULAR PAROXISTICA	4270  	NULL
338	ATEROSCLEROSIS ARTERIA MIEMBRO	4402  	NULL
339	COLECISTITIS CRONICA	57511 	NULL
340	CIRROSIS HEPATICA NO ALCOHOLICA	5715  	NULL
341	ENFERMEDAD MIONEURAL	358   	NULL
342	TRASTORNO CONDUCCION CORAZON	426   	NULL
343	HIPERTENSION EMBARAZO,PARTO Y PUERPERIO	642   	NULL
344	ABSCESO INTRACRANEAL E INTRAESPINAL	324   	NULL
345	TROMBOSIS O EMBOLIA VENOSA NO ESPECIFICADO	4539  	NULL
346	ACIDOSIS	2762  	NULL
347	POLIPO CUERPO UTERO	6210  	NULL
348	MIOCARDIOPATIA	425   	NULL
349	ENFERMEDAD RIÑON Y URETER OTRA	593   	NULL
350	INMADUREZ EXTREMA	7650  	NULL
351	ASISTENCIA ANTICONCEPTIVA ESTERILIZACION	V252  	NULL
352	ESPONDILOSIS TORACICA O LUMBAR CON MIELOPATIA	7214  	NULL
353	EMBOLIA O TROMBOSIS DE OTRA VENA ESPECIFICADA(FU)	4538  	NULL
354	PARTO POR CESAREA NO ESPECIFICADO	6697  	NULL
355	ANOMALIA CONGENITA VALVULA PULMONAR	7460  	NULL
356	OLIGOHIDRAMNIOS	6580  	NULL
357	PERICARDITIS AGUDA	420   	NULL
358	ASMA OBSTRUCTIVA CRONICA CON EPOC	4932  	NULL
359	ATEROSCLEROSIS	440   	NULL
360	BRONQUITIS CRONICA	491   	NULL
361	MIASTENIA GRAVE	3580  	NULL
362	MELANOMA MALIGNO PIEL	172   	NULL
363	FIBRILACION Y ALETEO AURICULA	4273  	NULL
364	NEUMONIA CONGENITA	7700  	NULL
365	DIABETES MELLITUS CON ALTERACION CIRCULATORIA	2507  	NULL
366	COLITIS ULCEROSA OTRA	5568  	NULL
367	FETO Y NEONATO AFECTADO POR ROTURA PREMATURA BOLSA	7611  	NULL
368	EMPIEMA PLEURA	510   	NULL
369	CONJUNTIVITIS AGUDA	3720  	NULL
370	INFARTO ANTIGUO MIOCARDIO	412   	NULL
371	TROMBOSIS VENA CAVA	4532  	NULL
372	FRACTURA CERRADA FEMUR PERTROCANTEREA	8202  	NULL
373	OSTEOCONDROPATIA OTRA	7328  	NULL
374	LARINGITIS AGUDA	4640  	NULL
375	HEMATEMESIS	5780  	NULL
376	NEOPLASIA MALIGNA PANCREAS CABEZA	1570  	NULL
377	TRAUMATISMO CABEZA, CARA Y CUELLO OTRO Y NO ESPECIFICADO	9590  	NULL
378	DISNEA Y ANOMALIA RESPIRATORIA	7860  	NULL
379	COMPLICACION PROCEDIMIENTO URINARIA	9975  	NULL
380	VOLVULO INTESTINO	5602  	NULL
381	ABSORCION INTESTINO DEFECTUOSA	579   	NULL
382	CIRROSIS HEPATICA ALCOHOLICA	5712  	NULL
383	COMPLICACION COLOSTOMIA Y ENTEROSTOMIA	5696  	NULL
384	VOMITO Y NAUSEA	7870  	NULL
385	HIPERPLASIA ENDOMETRIO	6213  	NULL
386	ESPONDILOSIS LUMBOSACRA SIN MIELOPATIA	7213  	NULL
387	PIELONEFRITIS CRONICA CON NECROSIS MEDULAR	59001 	NULL
388	ROTURA TOTAL VAINA ROTADORES	72761 	NULL
389	INFECCION HUESO NO ESPECIFICADO	7309  	NULL
390	ALERGIA NO ESPECIFICADO	9953  	NULL
391	CONTUSION MUÑECA Y MANO SALVO DEDO	9232  	NULL
392	ARTROPATIA OTRA CADERA	71685 	NULL
393	INCONTINENCIA ESFUERZO FEMENINA	6256  	NULL
394	DOLOR COLUMNA DORSAL	7241  	NULL
395	DOLOR ARTICULACION	7194  	NULL
396	DISFAGIA	7872  	NULL
397	DESVIACION COLUMNA VERTEBRAL EN ENF COC	7374  	NULL
398	LARINGOTRAQUEITIS AGUDA	4642  	NULL
399	EMBARAZO ECTOPICO ABDOMEN	6330  	NULL
400	VENTRICULO COMUN	7453  	NULL
401	PTERIGION	3724  	NULL
402	ABSCESO INTESTINO	5695  	NULL
403	FRACTURA CERRADA FEMUR CUELLO NO ESPECIFICADO	8208  	NULL
404	FISTULA ANO	5651  	NULL
405	FRACTURA CERRADA HUESO NARIZ	8020  	NULL
406	TAQUICARDIA NO ESPECIFICADO	7850  	NULL
407	OTITIS MEDIA NO SUPURATIVA AGUDA	3810  	NULL
408	HERNIA INGUINAL SIN OBSTRUCCION NI GANGRENA	5509  	NULL
409	FRACTURA ROTULA	822   	NULL
410	HERIDA MULTIPLE Y NO ESPECIFICADO COMPLICADA	8799  	NULL
411	HEMORRAGIA RECTO Y ANO	5693  	NULL
412	DISPEPSIA Y TRASTORNO FUNCIONAL ESTOMAGO OTRO	5368  	NULL
413	CRIPTORQUIDIA Y TESTICULO RETRACTIL	7525  	NULL
414	HERNIA VENTRAL CON OBSTRUCCION	5522  	NULL
415	ABORTO ESPONTANEO SIN COMPLICACION	6349  	NULL
416	DEFORMIDAD NARIZ ADQUIRIDA	7380  	NULL
417	ENFERMEDAD RESPIRATORIA FETO Y NEONATO OTRA	770   	NULL
418	COLANGITIS	5761  	NULL
419	FIEBRE TIFOIDEA Y PARATIFOIDEA	002   	NULL
420	FRACTURA CERRADA RADIO Y CUBITO EXTREMO INFERIOR	8134  	NULL
421	SINDROME NEFROTICO	581   	NULL
422	PARTO NORMAL TOTALMENTE	650   	NULL
423	QUISTE TEJIDO BLANDO BOCA	5284  	NULL
424	ENFERMEDAD ARTERIA Y ARTERIOLA OTRA	447   	NULL
425	ASTIGMATISMO	3672  	NULL
426	CONDUCTO ARTERIOSO PERSISTENTE	7470  	NULL
427	FRACTURA CLAVICULA	810   	NULL
428	COLITIS ULCEROSA	556   	NULL
429	FRACTURA PATOLOGICA VERTEBRA	73313 	NULL
430	ENFERMEDAD AUTOINMUNE	2794  	NULL
431	NEOPLASIA MALIGNA GLANDULA SUPRARRENAL	1940  	NULL
432	VERTIGO Y MAREO	7804  	NULL
433	DIABETES MELLITUS CON ALTERACION NO ESPECIFICADO	2509  	NULL
434	ESGUINCE RODILLA Y PIERNA	844   	NULL
435	QUERATOCONO	3716  	NULL
436	NEOPLASIA NATURALEZA NO ESPECIFICADO MAMA	2393  	NULL
437	DIVERTICULO INTESTINO DELGADO	5620  	NULL
438	VAGINITIS Y VULVOVAGINITIS	6161  	NULL
439	NEOPLASIA EVOLUCION INCIERTA OVARIO	2362  	NULL
440	COLAPSO PULMON	5180  	NULL
441	BULTO O MASA MAMA	61172 	NULL
442	NEUMOCONIOSIS POR OTRO SILICE O SILICATO	502   	NULL
443	NEUMONIA POR SALMONELLA	00322 	NULL
444	FRACTURA CERRADA RADIO Y CUBITO DIAFISIS	8132  	NULL
445	AMENAZA PARTO OTRA	6441  	NULL
446	LIPOMA	214   	NULL
